Temperature (C),Humidity,Pressure (millibars),Visibility (km),Precip Type,Wind Speed (km/h),Visibility (km).1,Visibility,Wind Speed,Apparent Temperature (C)
1.155555556,0.89,1021.1,14.812,0.0,24.6652,14.812,15,25,-4.366666667
19.04444444,0.51,1015.66,10.3523,0.0,1.0787,10.3523,10,1,19.04444444
12.93888889,0.9,1014.71,9.982,0.0,2.8336,9.982,10,3,12.93888889
14.68888889,0.8,1018.06,4.8461,0.0,10.7226,4.8461,5,11,14.68888889
11.71666667,0.96,1020.31,6.1985,0.0,3.22,6.1985,6,3,11.71666667
23.79444444,0.54,1007.95,11.27,0.0,17.2431,11.27,11,17,23.79444444
12.59444444,0.73,1012.63,11.0768,0.0,12.7351,11.0768,11,13,12.59444444
26.03888889,0.54,1015.68,16.1,0.0,7.9212,16.1,16,8,26.03888889
19.78888889,0.83,1011.35,15.1823,0.0,6.0214,15.1823,15,6,19.78888889
17.22222222,0.93,1007.12,10.0464,0.0,6.5849,10.0464,10,7,17.22222222
12.77777778,0.72,1019.8,11.27,0.0,12.88,11.27,11,13,12.77777778
-2.155555556,0.96,1013.28,4.83,1.0,3.1234,4.83,5,3,-2.155555556
11.14444444,0.45,1007.19,11.4471,0.0,26.0659,11.4471,11,26,11.14444444
13.07777778,0.86,1015.36,11.6886,0.0,10.8675,11.6886,12,11,13.07777778
13.86111111,0.72,1015.05,14.9086,0.0,19.9318,14.9086,15,20,13.86111111
16.01666667,0.67,1021.52,11.27,0.0,15.3111,11.27,11,15,16.01666667
0.061111111,0.92,1017.65,6.0214,0.0,5.8926,6.0214,6,6,-1.894444444
17.24444444,0.93,1014.18,8.1949,0.0,5.8765,8.1949,8,6,17.24444444
-6.111111111,0.88,1027.4,6.118,1.0,3.22,6.118,6,3,-6.111111111
27.87222222,0.38,1008.39,11.2056,0.0,10.8192,11.2056,11,11,27.41666667
12.15,0.57,1015.17,15.8263,0.0,6.8103,15.8263,16,7,12.15
13.9,0.89,1016.79,14.9086,0.0,6.44,14.9086,15,6,13.9
10.58333333,0.68,1015.92,9.982,0.0,11.27,9.982,10,11,10.58333333
21.08333333,0.32,1018.29,9.982,0.0,4.0572,9.982,10,4,21.08333333
12.77777778,0.9,1013.01,6.1985,0.0,17.1304,6.1985,6,17,12.77777778
3.888888889,0.92,1004.6,7.084,0.0,24.15,7.084,7,24,-0.805555556
-6.161111111,0.8,1008.24,9.6117,1.0,9.0965,9.6117,10,9,-10.35
17.77777778,0.65,1014.5,16.1,0.0,6.44,16.1,16,6,17.77777778
16.03333333,0.77,1015.03,15.1823,0.0,5.9731,15.1823,15,6,16.03333333
27.43888889,0.44,1010.15,11.3988,0.0,28.9317,11.3988,11,29,27.45
22.22222222,0.19,1020.1,9.982,0.0,20.93,9.982,10,21,22.22222222
8.533333333,0.84,1016.07,7.728,0.0,10.6421,7.728,8,11,6.783333333
19.93333333,0.3,1013.54,10.3523,0.0,15.6009,10.3523,10,16,19.93333333
-3.35,0.96,1025.03,7.3094,1.0,3.3971,7.3094,7,3,-3.35
22.22222222,0.68,1017.4,9.982,0.0,8.05,9.982,10,8,22.22222222
15.89444444,0.97,1001.22,5.313,0.0,2.7048,5.313,5,3,15.89444444
33.88888889,0.32,1009.76,10.4006,0.0,16.8728,10.4006,10,17,33.53888889
9.977777778,0.89,1020.09,10.0464,0.0,6.0053,10.0464,10,6,9.461111111
3.572222222,0.83,1019.13,9.1287,0.0,12.2521,9.1287,9,12,0.494444444
7.222222222,0.86,1018.4,6.118,0.0,11.27,6.118,6,11,5.088888889
14.45,0.93,1007.95,11.6886,0.0,5.8443,11.6886,12,6,14.45
6.111111111,0.93,1015.7,6.118,0.0,11.27,6.118,6,11,3.75
24.92777778,0.62,1016.87,9.982,0.0,7.5509,9.982,10,8,24.92777778
17.84444444,0.52,1015.11,11.27,0.0,20.9622,11.27,11,21,17.84444444
19.39444444,0.58,1017.01,15.1501,0.0,10.9319,15.1501,15,11,19.39444444
22.77777778,0.34,1019.7,9.982,0.0,8.05,9.982,10,8,22.77777778
-2.8,0.71,1008.26,10.8997,1.0,12.5419,10.8997,11,13,-7.305555556
14.37777778,0.93,1001.69,10.2557,0.0,5.9248,10.2557,10,6,14.37777778
17.61111111,0.91,1006.64,9.0965,0.0,9.7888,9.0965,9,10,17.61111111
15.12777778,0.92,1011.89,9.982,0.0,4.4275,9.982,10,4,15.12777778
15.22777778,0.41,1021.23,9.982,0.0,9.1448,9.982,10,9,15.22777778
2.494444444,0.87,1019.35,7.7119,0.0,9.6278,7.7119,8,10,-0.227777778
6.9,0.88,1020.99,9.982,0.0,6.3756,9.982,10,6,5.811111111
-12.77777778,0.0,1036.0,9.982,1.0,4.83,9.982,10,5,-12.77777778
-0.822222222,0.99,1015.39,2.1574,1.0,9.1931,2.1574,2,9,-4.05
9.905555556,0.84,1005.56,9.6922,0.0,10.948,9.6922,10,11,8.372222222
8.861111111,0.89,1019.97,5.957,0.0,11.0768,5.957,6,11,7.1
-3.783333333,0.92,1035.21,4.3953,1.0,5.8926,4.3953,4,6,-6.3
21.97222222,0.5,1011.12,15.8263,0.0,10.5455,15.8263,16,11,21.97222222
-0.044444444,0.76,1030.09,9.982,1.0,12.1877,9.982,10,12,-3.877777778
7.172222222,0.46,1037.29,9.982,0.0,8.5169,9.982,10,9,5.583333333
35.07222222,0.28,1011.15,9.982,0.0,8.0339,9.982,10,8,34.29444444
14.42222222,0.96,1010.3,11.753,0.0,6.279,11.753,12,6,14.42222222
24.92777778,0.54,1010.46,11.2056,0.0,23.0552,11.2056,11,23,24.92777778
23.8,0.65,1015.26,11.4471,0.0,9.3219,11.4471,11,9,23.8
17.84444444,0.52,1011.62,11.2056,0.0,25.9693,11.2056,11,26,17.84444444
15.97777778,0.73,1016.84,11.753,0.0,19.964,11.753,12,20,15.97777778
-0.005555556,0.69,1041.36,8.1305,1.0,0.2093,8.1305,8,0,-0.005555556
16.53333333,0.88,1014.22,14.9569,0.0,0.0,14.9569,15,0,16.53333333
4.027777778,0.64,1014.28,11.27,0.0,17.7422,11.27,11,18,0.155555556
9.894444444,0.77,1015.35,14.7637,0.0,14.7315,14.7637,15,15,7.833333333
7.983333333,0.83,1019.98,9.982,0.0,9.4185,9.982,10,9,6.35
3.027777778,0.94,1019.15,9.66,0.0,9.1448,9.66,10,9,0.527777778
18.28333333,0.93,1019.9,12.0428,0.0,2.4955,12.0428,12,2,18.28333333
16.08333333,0.41,1017.18,10.2557,0.0,3.2522,10.2557,10,3,16.08333333
-1.65,0.96,1030.24,0.161,1.0,6.4239,0.161,0,6,-4.077777778
8.955555556,0.93,1021.35,0.0322,0.0,3.2039,0.0322,0,3,8.955555556
-1.016666667,0.99,1013.3,3.9606,1.0,7.4865,3.9606,4,7,-3.744444444
19.11666667,0.91,1000.48,11.2056,0.0,4.1216,11.2056,11,4,19.11666667
17.01111111,0.76,1008.52,16.0517,0.0,8.05,16.0517,16,8,17.01111111
22.75,0.48,1018.15,15.5526,0.0,8.3398,15.5526,16,8,22.75
13.33333333,0.9,1017.12,15.8263,0.0,6.6976,15.8263,16,7,13.33333333
27.89444444,0.62,1011.25,11.4471,0.0,15.134,11.4471,11,15,29.47222222
10.78888889,0.93,1021.76,4.7495,0.0,3.059,4.7495,5,3,10.78888889
4.905555556,0.7,1020.99,9.982,0.0,25.1643,9.982,10,25,0.4
8.105555556,0.96,1002.62,5.9087,0.0,6.2951,5.9087,6,6,7.222222222
17.2,0.81,1011.22,14.9569,0.0,13.4918,14.9569,15,13,17.2
-2.305555556,0.8,1022.17,10.0303,1.0,36.0157,10.0303,10,36,-10.08888889
12.89444444,0.44,1009.25,16.1,0.0,14.1197,16.1,16,14,12.89444444
25.79444444,0.66,1008.46,9.982,0.0,4.7334,9.982,10,5,25.79444444
1.111111111,0.92,1024.5,8.05,0.0,4.83,8.05,8,5,1.111111111
22.22222222,0.35,1021.13,10.3523,0.0,18.998,10.3523,10,19,22.22222222
1.044444444,0.79,1011.62,15.8263,0.0,6.3917,15.8263,16,6,-0.955555556
17.27777778,0.59,1015.84,10.3523,0.0,16.5025,10.3523,10,17,17.27777778
26.03888889,0.59,1016.64,9.982,0.0,7.4704,9.982,10,7,26.03888889
4.005555556,0.99,1015.16,2.3023,0.0,10.948,2.3023,2,11,1.283333333
20.68333333,0.75,1011.15,14.9569,0.0,12.7512,14.9569,15,13,20.68333333
13.90555556,0.72,1003.63,9.982,0.0,16.744,9.982,10,17,13.90555556
10.95555556,0.93,992.92,15.8263,0.0,10.8031,15.8263,16,11,10.95555556
17.26666667,0.62,1011.23,9.982,0.0,10.8514,9.982,10,11,17.26666667
24.67777778,0.43,1012.16,11.2056,0.0,16.0678,11.2056,11,16,24.67777778
-2.222222222,0.88,1031.5,3.059,1.0,8.05,3.059,3,8,-5.344444444
27.66666667,0.47,1012.05,16.1,0.0,3.703,16.1,16,4,27.84444444
0.488888889,0.86,1020.03,8.0178,0.0,9.7566,8.0178,8,10,-2.644444444
21.98888889,0.82,1003.88,10.9802,0.0,9.2897,10.9802,11,9,21.98888889
20.9,0.85,1010.84,15.8746,0.0,6.2951,15.8746,16,6,20.9
32.75555556,0.34,1008.9,16.1,0.0,4.7012,16.1,16,5,32.25555556
5.1,0.39,1031.62,11.3988,0.0,14.6349,11.3988,11,15,1.944444444
3.933333333,0.76,1017.86,9.9015,0.0,22.0248,9.9015,10,22,-0.505555556
32.26666667,0.38,1013.8,10.0464,0.0,2.737,10.0464,10,3,32.24444444
17.15555556,0.58,1025.35,9.982,0.0,5.0554,9.982,10,5,17.15555556
3.977777778,0.83,1018.85,7.1806,0.0,11.4471,7.1806,7,11,1.144444444
22.06111111,0.6,1018.4,15.5526,0.0,10.0947,15.5526,16,10,22.06111111
7.805555556,0.77,1019.8,9.9015,0.0,12.3809,9.9015,10,12,5.605555556
8.811111111,0.93,1016.55,3.0268,0.0,3.3488,3.0268,3,3,8.811111111
6.211111111,0.86,1019.23,6.8425,0.0,19.5454,6.8425,7,20,2.666666667
25.99444444,0.5,1015.3,11.27,0.0,9.2253,11.27,11,9,25.99444444
7.972222222,0.78,1003.25,14.651,0.0,22.2502,14.651,15,22,4.6
15.09444444,0.46,1017.86,9.982,0.0,4.9105,9.982,10,5,15.09444444
25.08888889,0.5,1016.01,10.2557,0.0,11.0124,10.2557,10,11,25.08888889
7.127777778,0.72,1026.74,16.1,0.0,10.0947,16.1,16,10,5.2
10.05,0.54,1028.88,11.27,0.0,23.7636,11.27,11,24,10.05
9.855555556,0.63,1004.23,14.9569,0.0,32.5381,14.9569,15,33,6.238888889
6.683333333,0.93,1007.07,9.982,0.0,20.0284,9.982,10,20,3.205555556
-2.222222222,0.96,1011.7,2.576,1.0,3.22,2.576,3,3,-2.222222222
8.933333333,1.0,1010.33,5.0393,0.0,9.7083,5.0393,5,10,7.427777778
16.90555556,0.69,1014.08,15.5526,0.0,13.6689,15.5526,16,14,16.90555556
15.53333333,0.93,1004.02,12.2521,0.0,6.3756,12.2521,12,6,15.53333333
23.63333333,0.54,1019.1,15.5526,0.0,9.8049,15.5526,16,10,23.63333333
22.0,0.77,1017.12,15.134,0.0,4.7817,15.134,15,5,22.0
5.322222222,0.92,1015.49,6.2951,0.0,8.1949,6.2951,6,8,3.483333333
8.777777778,0.65,1017.12,11.3988,0.0,22.2502,11.3988,11,22,5.633333333
7.083333333,0.87,1019.51,6.118,0.0,3.1556,6.118,6,3,7.083333333
6.761111111,0.93,1028.08,0.4669,0.0,3.1878,0.4669,0,3,6.761111111
2.522222222,0.73,1017.44,8.855,0.0,7.5187,8.855,9,8,0.383333333
-7.222222222,0.88,1021.9,1.932,1.0,3.22,1.932,2,3,-7.222222222
27.36111111,0.38,1016.56,10.0464,0.0,4.8944,10.0464,10,5,27.0
20.99444444,0.57,1022.04,16.1,0.0,4.8944,16.1,16,5,20.99444444
7.755555556,0.83,1023.14,9.982,0.0,11.2056,9.982,10,11,5.744444444
17.93888889,0.92,1012.6,9.982,0.0,6.1341,9.982,10,6,17.93888889
2.166666667,0.85,1010.31,9.8049,0.0,10.6904,9.8049,10,11,-0.872222222
23.88888889,0.48,1016.7,9.982,0.0,12.88,9.982,10,13,23.88888889
1.438888889,0.78,1009.87,15.8746,0.0,6.1663,15.8746,16,6,-0.422222222
15.08888889,0.5,1007.07,10.3523,0.0,17.1948,10.3523,10,17,15.08888889
5.672222222,0.82,1019.6,8.7423,0.0,12.9122,8.7423,9,13,2.927777778
6.111111111,0.53,1010.9,9.982,0.0,9.66,9.982,10,10,4.072222222
-0.438888889,0.66,1021.35,15.8263,1.0,11.0607,15.8263,16,11,-4.094444444
-2.777777778,0.71,1025.8,11.27,1.0,12.88,11.27,11,13,-7.355555556
3.372222222,0.9,1018.78,6.5366,0.0,14.1036,6.5366,7,14,-0.088888889
10.07222222,0.62,1020.32,9.9015,0.0,12.8639,9.9015,10,13,10.07222222
6.111111111,0.7,1010.4,11.27,0.0,24.15,11.27,11,24,2.044444444
9.122222222,0.69,1014.52,8.5008,0.0,18.7082,8.5008,9,19,6.416666667
13.86666667,0.72,1014.71,11.2056,0.0,4.7978,11.2056,11,5,13.86666667
7.805555556,0.76,1022.27,15.5526,0.0,8.2915,15.5526,16,8,6.372222222
2.761111111,1.0,1026.0,3.4454,0.0,1.5295,3.4454,3,2,2.761111111
6.038888889,0.7,1017.77,11.9784,0.0,20.2216,11.9784,12,20,2.372222222
7.611111111,0.89,1018.2,11.8013,0.0,3.2361,11.8013,12,3,7.611111111
-0.033333333,0.83,1022.56,9.982,1.0,26.2752,9.982,10,26,-6.083333333
8.816666667,0.67,1022.9,9.982,0.0,8.1949,9.982,10,8,7.594444444
15.88888889,0.82,1019.24,14.9569,0.0,3.2522,14.9569,15,3,15.88888889
1.161111111,0.75,1001.3,9.982,0.0,14.4417,9.982,10,14,-2.866666667
22.82222222,0.57,1009.71,9.982,0.0,3.0751,9.982,10,3,22.82222222
7.266666667,0.73,1009.66,8.1305,0.0,22.9425,8.1305,8,23,3.638888889
7.083333333,0.73,1012.96,15.134,0.0,6.6171,15.134,15,7,5.955555556
-4.95,0.81,1042.91,4.0733,1.0,0.161,4.0733,4,0,-4.95
18.18888889,0.76,1011.14,14.9569,0.0,12.5258,14.9569,15,13,18.18888889
16.12777778,0.83,1017.77,15.5204,0.0,7.1806,15.5204,16,7,16.12777778
17.74444444,0.27,1032.59,10.3684,0.0,7.6153,10.3684,10,8,17.74444444
3.866666667,0.8,1006.17,14.9086,0.0,17.0982,14.9086,15,17,0.05
24.86666667,0.55,1020.43,15.8263,0.0,9.4668,15.8263,16,9,24.86666667
14.87777778,0.8,1004.51,9.982,0.0,15.0535,9.982,10,15,14.87777778
1.594444444,0.69,1025.12,15.8263,0.0,14.2968,15.8263,16,14,-2.305555556
2.822222222,1.0,1030.08,0.483,0.0,3.22,0.483,0,3,2.822222222
12.03888889,0.23,994.19,15.8263,0.0,30.7188,15.8263,16,31,12.03888889
13.88888889,0.64,1018.5,9.982,0.0,12.88,9.982,10,13,13.88888889
14.83888889,0.88,1015.54,8.1305,0.0,10.2396,8.1305,8,10,14.83888889
7.222222222,0.93,1011.0,4.025,0.0,3.22,4.025,4,3,7.222222222
5.555555556,0.96,1014.3,1.932,0.0,6.44,1.932,2,6,4.238888889
23.89444444,0.62,1009.81,16.1,0.0,9.3702,16.1,16,9,23.89444444
26.03888889,0.31,1007.45,16.1,0.0,12.7995,16.1,16,13,26.03888889
0.166666667,0.88,1020.22,7.2289,0.0,9.499,7.2289,7,9,-2.966666667
-3.111111111,0.72,1011.23,9.8049,1.0,19.8996,9.8049,10,20,-9.127777778
16.07222222,0.95,1014.14,8.4203,0.0,3.2039,8.4203,8,3,16.07222222
18.89444444,0.73,1019.43,9.982,0.0,12.7834,9.982,10,13,18.89444444
3.838888889,0.92,1018.56,4.0733,0.0,7.5831,4.0733,4,8,1.905555556
1.127777778,0.78,1026.13,6.3434,0.0,10.626,6.3434,6,11,-2.1
-1.205555556,0.88,1023.29,3.1073,1.0,10.8675,3.1073,3,11,-4.961111111
7.288888889,0.9,1020.93,6.1341,0.0,4.8461,6.1341,6,5,6.744444444
2.061111111,0.74,993.22,10.8031,0.0,15.9873,10.8031,11,16,-2.027777778
28.86666667,0.36,1014.6,9.982,0.0,15.617,9.982,10,16,28.17222222
-1.088888889,0.78,1024.64,15.8263,1.0,3.1717,15.8263,16,3,-1.088888889
4.794444444,0.77,1008.13,14.9086,0.0,27.4022,14.9086,15,27,0.033333333
35.16111111,0.3,1014.13,9.982,0.0,21.8316,9.982,10,22,34.91666667
7.222222222,0.86,1018.6,7.084,0.0,11.27,7.084,7,11,5.088888889
17.77777778,0.9,1016.8,15.134,0.0,6.44,15.134,15,6,17.77777778
-1.111111111,0.92,1023.8,9.982,1.0,1.61,9.982,10,2,-1.111111111
19.02222222,0.96,1015.82,12.0428,0.0,2.8819,12.0428,12,3,19.02222222
13.84444444,0.9,1014.65,16.1,0.0,15.5204,16.1,16,16,13.84444444
11.07222222,0.54,1018.59,9.982,0.0,1.6744,9.982,10,2,11.07222222
16.99444444,0.89,1003.19,9.982,0.0,8.9677,9.982,10,9,16.99444444
21.33888889,0.59,1011.63,10.5455,0.0,8.0178,10.5455,11,8,21.33888889
14.96111111,0.67,1016.42,14.9569,0.0,4.3631,14.9569,15,4,14.96111111
10.51111111,0.86,1015.57,14.9086,0.0,14.168,14.9086,15,14,10.51111111
14.42222222,0.96,1017.83,15.5526,0.0,3.0751,15.5526,16,3,14.42222222
22.75555556,0.41,1018.99,9.982,0.0,21.7028,9.982,10,22,22.75555556
-0.044444444,0.92,1021.37,5.8443,1.0,3.3327,5.8443,6,3,-0.044444444
-0.116666667,0.93,1019.48,6.8103,1.0,3.0107,6.8103,7,3,-0.116666667
0.95,0.8,1023.51,6.3434,0.0,8.7584,6.3434,6,9,-1.827777778
14.93333333,0.62,1024.98,9.982,0.0,10.9158,9.982,10,11,14.93333333
22.77777778,0.32,1025.8,9.982,0.0,14.49,9.982,10,14,22.77777778
12.03888889,0.62,987.08,11.1251,0.0,33.6168,11.1251,11,34,12.03888889
25.02222222,0.5,1013.29,9.982,0.0,12.3165,9.982,10,12,25.02222222
11.51111111,0.73,1028.28,15.8263,0.0,13.8782,15.8263,16,14,11.51111111
8.572222222,0.9,1010.43,15.0052,0.0,6.8908,15.0052,15,7,7.605555556
13.31111111,0.64,1013.89,15.8263,0.0,10.4489,15.8263,16,10,13.31111111
-6.205555556,0.89,1008.26,4.9105,1.0,11.1895,4.9105,5,11,-11.06666667
3.772222222,0.92,999.92,4.1699,0.0,28.336,4.1699,4,28,-1.372222222
13.83888889,0.93,1008.7,6.2951,0.0,4.7978,6.2951,6,5,13.83888889
10.0,0.72,1010.38,9.982,0.0,20.4309,9.982,10,20,7.35
16.12777778,0.51,1016.22,10.2557,0.0,36.0318,10.2557,10,36,16.12777778
17.22222222,0.67,1021.8,9.982,0.0,14.49,9.982,10,14,17.22222222
14.41111111,0.57,1012.35,15.1823,0.0,13.2342,15.1823,15,13,14.41111111
15.78333333,0.5,1016.45,10.3523,0.0,16.0839,10.3523,10,16,15.78333333
7.216666667,0.78,1022.19,9.982,0.0,9.0804,9.982,10,9,5.511111111
5.005555556,0.75,1028.53,11.27,0.0,20.3826,11.27,11,20,1.044444444
2.916666667,0.9,1008.9,5.1842,0.0,11.3344,5.1842,5,11,-0.111111111
21.9,0.75,1010.64,9.8371,0.0,10.8353,9.8371,10,11,21.9
16.05,0.91,1016.89,11.6886,0.0,3.5259,11.6886,12,4,16.05
-1.666666667,0.88,1017.5,15.134,1.0,3.22,15.134,15,3,-1.666666667
-15.0,0.0,1015.1,9.982,1.0,3.22,9.982,10,3,-15.0
3.083333333,0.95,1025.18,10.948,0.0,0.6923,10.948,11,1,3.083333333
11.85555556,0.75,1012.92,15.3111,0.0,2.8175,15.3111,15,3,11.85555556
2.177777778,0.92,1028.9,0.161,0.0,3.22,0.161,0,3,2.177777778
2.105555556,0.67,1032.93,16.1,0.0,20.0284,16.1,16,20,-2.572222222
23.88888889,0.48,0.0,11.27,0.0,8.6457,11.27,11,9,23.88888889
7.711111111,0.84,1020.76,9.8049,0.0,14.1519,9.8049,10,14,5.227777778
27.05,0.5,1013.91,11.3988,0.0,12.9122,11.3988,11,13,27.48333333
24.76111111,0.7,1011.86,9.9015,0.0,3.1717,9.9015,10,3,24.76111111
31.16111111,0.38,1015.8,16.1,0.0,9.0965,16.1,16,9,30.78333333
9.844444444,0.89,1016.44,9.7566,0.0,6.44,9.7566,10,6,9.188888889
15.60555556,0.81,1013.77,16.1,0.0,6.4078,16.1,16,6,15.60555556
7.916666667,0.92,1020.29,9.982,0.0,3.2844,9.982,10,3,7.916666667
-0.733333333,0.9,1020.75,5.7799,1.0,11.2056,5.7799,6,11,-4.483333333
-2.222222222,0.81,1011.36,9.6439,1.0,15.3433,9.6439,10,15,-7.205555556
7.144444444,0.78,1013.08,14.9569,0.0,7.1323,14.9569,15,7,5.883333333
11.07222222,0.84,1014.0,14.9569,0.0,6.7781,14.9569,15,7,11.07222222
23.67222222,0.48,1011.66,10.3523,0.0,23.8602,10.3523,10,24,23.67222222
19.98333333,0.49,1018.41,10.4006,0.0,10.2718,10.4006,10,10,19.98333333
26.99444444,0.6,1011.81,16.1,0.0,13.0088,16.1,16,13,28.09444444
3.983333333,0.76,1018.93,9.982,0.0,12.9122,9.982,10,13,0.872222222
-5.605555556,0.89,1035.5,4.4597,1.0,4.1699,4.4597,4,4,-5.605555556
-2.15,0.96,1038.36,0.2093,1.0,4.669,0.2093,0,5,-2.15
-1.161111111,0.92,1016.87,5.9731,1.0,2.9141,5.9731,6,3,-1.161111111
2.927777778,0.6,0.0,9.982,0.0,7.8085,9.982,10,8,0.772222222
20.99444444,0.6,1012.91,11.27,0.0,21.6545,11.27,11,22,20.99444444
27.71666667,0.51,1015.92,15.5526,0.0,7.8246,15.5526,16,8,28.22222222
14.46666667,0.93,1012.26,9.9015,0.0,5.796,9.9015,10,6,14.46666667
13.35,0.83,1014.48,15.1501,0.0,2.7692,15.1501,15,3,13.35
20.1,0.72,1015.27,15.8263,0.0,2.9785,15.8263,16,3,20.1
22.15,0.27,1018.37,16.1,0.0,24.5525,16.1,16,25,22.15
12.27222222,0.66,1006.98,14.9569,0.0,3.0429,14.9569,15,3,12.27222222
-3.272222222,0.92,1037.68,4.8461,1.0,11.0285,4.8461,5,11,-7.488888889
3.816666667,1.0,1008.28,0.3381,0.0,7.406,0.3381,0,7,1.927777778
9.866666667,0.86,1022.87,11.2056,0.0,7.8246,11.2056,11,8,8.9
-1.016666667,1.0,1007.93,4.7817,1.0,14.2646,4.7817,5,14,-5.505555556
18.79444444,0.48,1023.21,9.982,0.0,9.4346,9.982,10,9,18.79444444
-2.061111111,0.96,1030.15,1.8515,1.0,7.889,1.8515,2,8,-5.1
12.62222222,0.8,1009.98,15.3594,0.0,16.905,15.3594,15,17,12.62222222
6.011111111,0.78,1023.73,9.982,0.0,14.6671,9.982,10,15,3.061111111
-3.888888889,0.78,1025.5,6.118,1.0,11.27,6.118,6,11,-8.3
15.99444444,0.62,1014.5,9.982,0.0,0.1449,9.982,10,0,15.99444444
17.15555556,0.93,1017.47,11.0446,0.0,2.9624,11.0446,11,3,17.15555556
